kodea,Udalerria,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
48001,Abadi–o,38.39,37.86,42.13,47.94,44.78,40.41,43,50.34,49.69,49.8,38.22,42.51,36.24,38.7,35.07
20001,Abaltzisketa,36.81,36.81,36.7,33.43,48.48,40.25,46.44,86.42,43.61,28.94,22.51,16.67,20.69,14.18,46.26
48002,Abanto y CiŽrvana-Abanto Zierbena,35.56,41.42,46.64,48.44,51.22,47.57,49.94,41.26,47.9,43.08,49.22,35.18,41.34,34.44,33.29
20002,Aduna,44.59,57.32,82.98,95.54,64.66,53.1,81.86,113.38,91.57,75.07,91.15,108.4,113.89,95.1,81.87
20016,Aia,15.98,37.77,29.28,43.03,40.22,59.09,43.69,54.36,43.87,34.74,31.49,42.2,35.75,27.76,32.74
20003,Aizarnazabal,7.75,19.38,15.48,21.94,24.58,22.67,21.33,40.22,21.77,27.86,12.38,11.18,19.29,16.56,8.83
48911,Ajangiz,21.19,33.9,19.4,13.02,39.39,17.47,26.2,30.84,22.32,20.27,27.03,24.89,13.64,6.93,2.33
20004,Albiztur,9.23,9.23,24.62,37.04,30.77,22.29,22.29,28.66,12.74,19.48,29.22,26.85,13.51,13.47,16.95
20005,Alegia,22.44,29.92,33.99,39.01,35.43,40.56,34.93,32.31,33.87,21.78,39.43,22.63,18.08,21.17,27.51
1001,Alegr’a-Dulantzi,18.37,22.88,24.05,16.87,24.84,24.33,35.26,21.75,19.12,23.89,24.31,19.58,24.07,26.71,24.27
20006,Alkiza,8.26,16.53,5.56,21.74,18.57,30.22,16.48,5.63,11.27,11.94,17.91,9.35,9.65,13.51,0
48912,Alonsotegi,40.64,41.68,39.2,49.47,32.8,36.36,39.53,33.29,44.14,35.13,30.52,27.91,36.17,40.21,29.52
20906,Altzaga,17.54,29.24,17.24,5.85,24.24,37.27,12.42,25,,,50.96,25.81,0,0,21.28
20007,Altzo,4.76,7.14,22,29.78,46.91,31.86,19.61,32.34,20,10.26,17.95,37.94,11.14,8.47,14.93
20008,Amezketa,16.01,12.81,13.83,7.33,26.8,22.61,17.47,17.31,25.2,13.42,20.64,12.45,16.46,6.15,14.26
48003,Amorebieta-Etxano,23.11,25.33,24.15,24.55,23.15,28.16,28.65,25.48,23.01,27.92,26.26,27.47,23.12,25.38,30.42
48004,Amoroto,25.88,23.53,136.36,118.36,36.59,17.11,36.67,19.32,17.03,19.66,14.74,17.37,7.65,21.11,21.39
1002,Amurrio,20.44,21.12,21.63,24.39,30.52,28.42,28.91,22.93,25.42,24.31,21.9,21.12,18.52,22.72,18.15
20009,Andoain,15.03,16.12,17.35,18.82,15.84,20.25,20.66,21.87,22.15,20.81,17.81,19.15,16.53,16.84,16.9
20010,Anoeta,28.59,41.4,48.53,50.36,46.2,57.35,27.85,46.17,36.2,31.68,31.13,19.64,23.02,20.79,23.64
20011,Antzuola,21.26,16.17,22.88,29.64,23.28,45.37,18.79,30.82,60.51,17.82,14.53,12.88,9.72,8.02,7.26
48005,Arakaldo,82.28,151.9,57.32,66.23,94.89,78.74,94.49,33.33,115.38,157.89,115.79,83.33,108.7,139.78,73.68
20012,Arama,43.06,52.63,33.65,60.75,59.91,89.55,34.83,66.67,23.92,32.26,21.51,22.35,17.75,30.49,60.61
1003,Aramaio,18.01,20.68,17.88,11.35,13.47,17.28,15.28,17.37,13.35,16.1,10.06,10.72,12.02,8.7,13.44
48006,Arantzazu,48.22,25.38,10.53,28.87,24.19,47.62,30.81,14.71,47.62,45.75,45.75,20,20.55,21.13,35.46
48093,Areatza,34.85,10.79,27.39,24.11,17.23,39.9,44.06,24.98,29.9,26.48,40.18,24.16,21.82,43.73,20.51
20013,Aretxabaleta,13.56,17.85,16.47,15.6,17.23,26.37,21.51,23.09,21.66,19.08,21.81,21.95,14.86,15.71,17.56
